"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Contabilidad I","media","¿Qué información proporciona el 'Estado de Resultados'?","La situación estática de los bienes y deudas del ente a una fecha determinada.","Una explicación dinámica de las causas que generaron el resultado (lucro o pérdida) durante un periodo.","La evolución detallada de las cuentas bancarias y el efectivo del ente.","B","El Estado de Resultados es dinámico y exhibe la evolución económica a través de ingresos y gastos durante un ejercicio.","true"
"Licenciatura en Administración","Contabilidad I","media","Un 'Deudor Moroso' se clasifica como tal cuando:","Ha sido demandado judicialmente para el cobro de la deuda.","Ha excedido el plazo de pago pactado pero aún no está en gestión judicial.","Se considera que la probabilidad de cobro es remota y debe previsionarse.","B","Los deudores morosos son aquellos cuyos saldos están excedidos en el plazo de cobro concertado.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué sucede contablemente cuando un socio 'suscribe' capital en una sociedad de personas?","Se registra el ingreso efectivo del dinero a la caja de la empresa.","Se reconoce el compromiso de aporte del socio, naciendo un derecho para la sociedad.","Se emiten las acciones físicas y se entregan al socio.","B","La suscripción es la etapa donde los socios se comprometen a aportar, registrándose en cuentas como 'Socio X cuenta aporte'.","true"
"Licenciatura en Administración","Contabilidad I","media","En el rubro 'Caja y Bancos', ¿qué es un arqueo de caja?","Un informe bancario que detalla los movimientos de la cuenta corriente.","Un recuento físico de billetes, monedas y valores para verificar la existencia y calidad del saldo contable.","La transferencia de fondos desde la caja central hacia el fondo fijo.","B","El arqueo es un inventario físico de los elementos incluidos en la cuenta caja para verificar su realidad y detectar sobrantes o faltantes.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es el límite para la constitución de la Reserva Legal según la Ley General de Sociedades mencionada?","El 10% de las utilidades anuales sin límite sobre el capital.","El 5% de las ganancias del ejercicio hasta alcanzar el 20% del capital social.","El 20% de las ganancias acumuladas al cierre del ejercicio.","B","La reserva legal obliga a separar el 5% del resultado hasta que el importe llegue al 20% del capital.","true"
"Licenciatura en Administración","Contabilidad I","media","Las 'Inversiones Temporarias' se caracterizan por:","Tener un plazo de realización superior a los doce meses desde el cierre del ejercicio.","Ser colocaciones de excedentes de efectivo de fácil realización y corto plazo.","Formar parte de los activos dedicados a la operatoria principal del ente.","B","Son colocaciones al margen de la actividad habitual, con ánimo de obtener renta y realizables en menos de 12 meses.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuándo se debe dar de baja un crédito del activo?","Cuando el deudor entra en mora y se le envía la primera intimación.","Cuando se cobra, se condona, prescribe o se considera definitivamente incobrable.","Al cierre del ejercicio si el deudor no ha pagado su cuota mensual.","B","Un crédito se da de baja al perderse los derechos correspondientes por cobro, condonación, prescripción o incobrabilidad definitiva.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué es la 'Llave de Negocio'?","El valor de las marcas y patentes que posee la empresa debidamente registradas.","El valor actual de las superutilidades futuras esperadas, reconocido solo si hubo una transacción.","El costo de los gastos de organización y puesta en marcha de un nuevo local.","B","Representa la capacidad de obtener ganancias superiores a las normales y solo se reconoce ante una transacción que le da origen.","true"
"Licenciatura en Administración","Contabilidad I","media","Si el monto de una previsión para despidos constituida el año anterior resulta 'insuficiente' para cubrir el despido real:","Se registra la diferencia como un gasto operativo del ejercicio actual.","Se debe utilizar la cuenta 'Ajuste de Resultados de Ejercicios Anteriores' (AREA).","Se cancela la previsión y se registra el total como un nuevo pasivo cierto.","B","Si el monto es mayor al previsto, corresponde un ajuste a resultados anteriores por haber estimado el cargo en defecto en el pasado.","true"
"Licenciatura en Administración","Contabilidad I","media","Los 'Gastos' se diferencian de los 'Costos' en que:","Los gastos no están vinculados directamente a un ingreso específico del periodo.","Los costos son siempre erogaciones de efectivo inmediatas.","Los gastos se activan y los costos se exponen en el estado de resultados.","A","El costo es el esfuerzo para obtener un ingreso específico; el gasto se refiere a actividades generales (administración, ventas) sin vinculación directa inmediata.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué muestra el 'Estado de Evolución del Patrimonio Neto'?","La relación detallada de todos los activos y pasivos al cierre.","Las variaciones cualitativas y cuantitativas de los componentes del patrimonio neto durante el ejercicio.","El flujo de fondos generado exclusivamente por las operaciones con terceros.","B","Este estado dinámico muestra la composición al inicio, los cambios (aportes, retiros, resultados) y el saldo al cierre.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué es un 'Interés No Devengado'?","Aquel que ya ha transcurrido en el tiempo y debe pagarse de inmediato.","Aquel cuyo tiempo no ha transcurrido aún y actúa como regularizador de activos o pasivos.","El interés que se pacta en forma vencida al finalizar un préstamo.","B","Es el interés cuyo tiempo no transcurrió para ser apropiado como resultado, figurando como cuenta regularizadora.","true"
"Licenciatura en Administración","Contabilidad I","media","Las 'Cuentas de Orden' se utilizan para:","Registrar variaciones que modifican cuantitativamente el patrimonio neto de forma inmediata.","Reflejar contingencias que no tienen efecto patrimonial actual pero podrían tenerlo en el futuro (ej. avales).","Clasificar los gastos de administración por orden alfabético en el libro mayor.","B","Se usan para hechos eventuales o bienes de terceros que no forman parte de la igualdad contable actual pero requieren control.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es la función del 'Libro Diario General'?","Acumular los saldos de cada cuenta para preparar el prebalance.","Registrar cronológicamente la totalidad de las operaciones del ente respaldadas por comprobantes.","Mostrar la composición del patrimonio al inicio de cada mes calendario.","B","Es un registro cronológico indispensable de todas las operaciones (permutativas, modificativas, etc.) basado en documentación respaldatoria.","true"
"Licenciatura en Administración","Contabilidad I","media","Un pasivo se considera 'Corriente' si:","Su vencimiento se producirá dentro de los doce meses a partir de la fecha de cierre de los estados contables.","La deuda se origina exclusivamente en la compra de mercaderías para la reventa.","El acreedor es una institución financiera nacional debidamente autorizada.","A","La clasificación en corriente o no corriente depende del plazo de exigibilidad (12 meses desde el cierre).","true"
"Licenciatura en Administración","Contabilidad I","media","El 'Valor Residual' de un Bien de Uso se calcula como:","El precio de venta estimado en el mercado de usados.","El valor de incorporación (V.O.) menos la depreciación acumulada.","El costo de reposición del bien al momento de la medición.","B","El valor residual refleja la parte del costo original que aún no ha sido imputada a resultados por vía de la depreciación.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué es el 'Fondo Fijo'?","Una reserva de capital que los socios no pueden retirar durante diez años.","Una suma de dinero para atender gastos menores que se repone periódicamente.","El saldo mínimo que el banco exige mantener en una cuenta corriente.","B","Es una cantidad fija de dinero para pagos de escaso monto que requiere reposición cuando llega a un nivel predeterminado.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Cuál es la diferencia entre una 'Variación Permutativa' y una 'Modificativa'?","La permutativa solo cambia la composición del patrimonio; la modificativa altera su magnitud cuantitativa.","La modificativa solo ocurre con los propietarios; la permutativa solo con terceros.","La permutativa genera resultados positivos; la modificativa resultados negativos.","A","Las permutativas son cambios de calidad (activo por activo, etc.) sin afectar el valor del PN; las modificativas generan resultados que cambian la cuantía del PN.","true"
"Licenciatura en Administración","Contabilidad I","media","En el Estado de Situación Patrimonial, ¿cómo se ordenan los Activos?","Por orden alfabético según el plan de cuentas del ente.","Según su grado de liquidez, exponiendo primero los más corrientes.","De acuerdo a la antigüedad de su incorporación al patrimonio.","B","Los activos y pasivos se ordenan según su liquidez y exigibilidad respectivamente.","true"
"Licenciatura en Administración","Contabilidad I","media","¿Qué concepto define a la 'Empresa en Marcha'?","Que el ente ha comenzado sus operaciones de venta efectivamente.","El supuesto de que la entidad continuará sus actividades operativas en el futuro previsible.","Que el ente dispone de rodados y maquinarias en funcionamiento actual.","B","Es el principio que asume la continuidad de las actividades sin intención de liquidación inmediata.","true"
