"career","subject","difficulty","question_text","option_a","option_b","option_c","correct_option","explanation","is_active"
"Licenciatura en Administración","Administración I","media","¿Qué concepto sistémico explica que una organización pueda alcanzar el mismo objetivo por distintos caminos?","Homeostasis.","Equifinalidad.","Sinergia.","B","La equifinalidad implica que el sistema puede lograr resultados finales partiendo de condiciones iniciales diferentes .","true"
"Licenciatura en Administración","Administración I","media","Dentro del ambiente organizacional, los proveedores y competidores forman parte del:","Entorno general.","Entorno específico o de tarea.","Entorno macroeconómico.","B","El entorno específico incluye fuerzas que afectan directamente la capacidad de obtener insumos y disponer de productos .","true"
"Licenciatura en Administración","Administración I","media","¿Cuál es un requisito fundamental para que los objetivos estén correctamente definidos en la planificación?","Ser redactados de forma ambigua para permitir flexibilidad.","Ser cuantificables, verificables y tener un horizonte temporal.","Ser definidos únicamente por los niveles operativos.","B","Un objetivo debe tener atributo, unidad de medida, umbral y tiempo para poder ser controlado .","true"
"Licenciatura en Administración","Administración I","media","El control que se realiza mientras una actividad laboral está en progreso se denomina:","Control preventivo.","Control de retroalimentación.","Control concurrente.","C","El control concurrente actúa durante la ejecución para corregir problemas antes de que sean costosos .","true"
"Licenciatura en Administración","Administración I","media","¿Cuándo se considera que un sistema de información es 'oportuno'?","Cuando los datos son 100% exactos sin margen de error.","Cuando la información está disponible en el momento en que se la necesita para decidir.","Cuando el costo de obtener la información es mayor que su beneficio.","B","La oportunidad es un atributo crítico; la información fuera de tiempo carece de valor para la gestión .","true"
"Licenciatura en Administración","Administración I","media","La 'Sucesión de fines' ocurre cuando una organización:","Sustituye su finalidad original por otra para la cual no fue creada.","Encuentra nuevos fines porque los antiguos ya fueron realizados o son inalcanzables.","Mantiene múltiples fines contradictorios al mismo tiempo.","B","La sucesión es la tendencia a renovar la misión cuando la anterior se cumple (ej. Cruz Roja) .","true"
"Licenciatura en Administración","Administración I","media","Según Mintzberg, el rol de 'Monitor' dentro de los roles informativos consiste en:","Transmitir información del exterior al interior de la empresa.","Buscar permanentemente información para detectar problemas y oportunidades.","Actuar como cabeza visible de la organización en actos ceremoniales.","B","Como monitor, el administrador escanea el ambiente para obtener información que no llega por vías formales .","true"
"Licenciatura en Administración","Administración I","media","Una organización que utiliza un equipo de especialistas de diversas áreas para resolver un problema puntual y luego se disuelve está usando:","Una estructura funcional pura.","Una fuerza de tarea (task force).","Una red de comunicación en cadena.","B","La fuerza de tarea es un mecanismo de integración temporal para problemas específicos .","true"
"Licenciatura en Administración","Administración I","media","¿Qué caracteriza a una decisión 'No Programada'?","Es repetitiva y se maneja mediante una rutina establecida.","Es única, no recurrente y demanda soluciones específicas para problemas nuevos.","Se toma ante situaciones de certeza absoluta sobre las variables.","B","Las decisiones no programadas enfrentan problemas no estructurados y de gran trascendencia .","true"
"Licenciatura en Administración","Administración I","media","En el proceso de decisión, ¿qué es la 'Racionalidad Limitada'?","La capacidad de procesar toda la información disponible para encontrar la solución óptima.","Tomar decisiones parcialmente irracionales debido a limitaciones cognitivas y de tiempo.","Decidir basándose exclusivamente en la intuición y sentimientos.","B","Simon plantea que el ser humano no puede ser totalmente racional y busca soluciones satisfactorias, no óptimas .","true"
"Licenciatura en Administración","Administración I","media","Según Maslow, ¿cuándo surgen las necesidades de un nivel superior?","Cuando las necesidades del nivel inferior han sido satisfechas.","Cuando el individuo entra en una crisis de autorrealización.","De forma simultánea con las necesidades fisiológicas.","A","La jerarquía de Maslow establece que la motivación sube de nivel a medida que se satisfacen los niveles previos .","true"
"Licenciatura en Administración","Administración I","media","En la teoría de Herzberg, un 'Factor Higiénico' es aquel que:","Provoca una profunda satisfacción si está presente.","Se relaciona con el contenido del cargo y el crecimiento personal.","Si es excelente evita la insatisfacción, pero no provoca satisfacción por sí solo.","C","Los factores higiénicos (contexto, salario) son preventivos; su ausencia desmotiva, pero su presencia no motiva a largo plazo .","true"
"Licenciatura en Administración","Administración I","media","La Teoría Y de McGregor asume que:","El hombre es perezoso por naturaleza y evita responsabilidades.","El trabajo puede ser una fuente de satisfacción y la gente puede autodirigirse.","Los empleados solo se motivan mediante recompensas económicas y castigos.","B","La Teoría Y es la visión moderna y positiva del potencial humano en el trabajo .","true"
"Licenciatura en Administración","Administración I","media","El sistema administrativo de Likert que se basa en la confianza mutua y el trabajo en equipo se llama:","Autoritario benevolente.","Consultivo.","Participativo.","C","El Sistema 4 (Participativo) es el más abierto y democrático, con decisiones totalmente delegadas .","true"
"Licenciatura en Administración","Administración I","media","En comunicación, el 'Filtrado' ocurre cuando:","El receptor interpreta el mensaje según sus prejuicios.","El emisor manipula la información para que sea vista más favorablemente.","Existen ruidos técnicos que impiden que el mensaje llegue.","B","El filtrado es una barrera donde se dice 'lo que el otro quiere escuchar' .","true"
"Licenciatura en Administración","Administración I","media","¿Qué distingue a una empresa Transnacional de una Multinacional, según las definiciones cargadas?","La transnacional tiene capitales de muchos países, la multinacional de uno solo.","La multinacional tiene capitales de distintos países; la transnacional tiene capital de un solo país pero opera en varios.","La multinacional no tiene sede central, la transnacional sí.","B","Las multinacionales se constituyen con capitales de diversas naciones, las transnacionales exportan su capital originario .","true"
"Licenciatura en Administración","Administración I","media","Un principio fundamental del Cooperativismo es:","La distribución de ganancias en proporción al capital aportado.","Un voto por asociado, independientemente del capital aportado.","La gestión a cargo exclusiva de los accionistas mayoritarios.","B","Las cooperativas son democráticas; rige el principio de 'un hombre, un voto' .","true"
"Licenciatura en Administración","Administración I","media","¿Cuál es la característica principal de la departamentalización funcional?","Agrupa puestos de trabajo según la región geográfica.","Agrupa actividades de acuerdo con las funciones desempeñadas (contabilidad, compras, etc.).","Se basa en el flujo de productos o clientes específicos.","B","La funcional agrupa tareas homogéneas relacionadas a una especialidad técnica .","true"
"Licenciatura en Administración","Administración I","media","En el diseño organizacional, el 'Tramo de Control' se refiere a:","El derecho de un superior para dar órdenes.","La cantidad de subordinados que un gerente puede dirigir con eficiencia.","La línea de autoridad que va de arriba hacia abajo.","B","El tramo administrativo define cuántas personas reportan directamente a un jefe .","true"
"Licenciatura en Administración","Administración I","media","¿Qué mecanismo de coordinación es más común en organizaciones pequeñas y sencillas?","Estandarización de procesos.","Supervisión directa.","Ajuste mutuo.","C","El ajuste mutuo se basa en la comunicación informal entre quienes realizan la tarea .","true"
